,start,film,director,actor,link,image,distro,country,trailer,year
0,2020-12-17,Das Neue Evangelium ,Milo Rau,Yvan Sagnet Maia Morgenstern Enrique Irazoqui Marcello Fonte,https://www.kino-zeit.de/node/51008,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/das_neue_evangelium_1.jpg,Port au Prince Pictures,"Deutschland, Schweiz",https://youtu.be/x9zyTMVctZ4,2020
1,2020-12-17,Die Wand der Schatten ,Eliza Kubarska,,https://www.kino-zeit.de/node/50593,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/die-wand-der-schatten2.jpg,Rise and Shine Cinema,"Schweiz, Polen, Deutschland",no trailer found,2020
4,2020-12-31,Wickie und die starken Männer - Das magische Schwert ,Eric Cazes,,https://www.kino-zeit.de/node/48473,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/wickie_und_die_starken_maenner_das_magische_schwert_filmstill3.jpg,Leonine,"Deutschland, Frankreich, Belgien",https://youtu.be/WEhvBitBLfg,2019
5,2021-01-07,Chaddr - Unter uns der Fluss ,Minsu Park,,https://www.kino-zeit.de/node/50713,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/chaddr_still_rgb_chaddr-large.jpg,Film Kino Text,Deutschland,no trailer found,2020
6,2021-01-07,Krabat ,Marco Kreuzpaintner,David Kross Daniel Brühl Christian Redl Robert Stadlober Paula Kalenberg,https://www.kino-zeit.de/node/16389,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/news/bild14556.jpg,CROCO Filmverleih & Vertrieb GmbH,Deutschland,https://youtu.be/sUd43YtS20Y,2008
8,2021-01-07,Tagundnachtgleiche ,Lena Knauss,Thomas Niehaus Sarah Hostettler Aenne Schwarz Godehard Giese Ines Marie Westernströer,https://www.kino-zeit.de/node/48415,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/Tagundnachtgleiche_Still_1_c_Tamtam_Film_Eva_Katharina_Buehler.jpg,farbfilm verleih GmbH,Deutschland,https://youtu.be/Hxu_a4dRKDE,2020
