,start,film,director,actor,link,image,distro,country,trailer,year
61,2021-11-25,Baden gegen Württemberg ,Andreas Köller,Christian Pätzold Stefan Preiss Laura Schwickerath,https://www.kino-zeit.de/node/53464,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/trailer/poster/poster_175385.jpg,Camino Filmverleih GmbH,Deutschland,https://youtu.be/telXFlR4mXI,2021
62,2021-11-25,Bilder (m)einer Mutter ,Melanie Lischker,,https://www.kino-zeit.de/node/53201,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/trailer/poster/poster_173327.jpg,Koberstein Film GmbH,Deutschland,https://youtu.be/Mo4HowCHNsQ,2021
63,2021-11-25,Das schwarze Quadrat ,Peter Meister,Bernhard Schütz Jacob Matschenz Sandra Hüller Victoria Trauttmansdorff Pheline Roggan,https://www.kino-zeit.de/node/52528,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2021-09/das_schwarze_quadrat_4.jpg,"Port-Au-Prince Pictures, 24 Bilder",Deutschland,https://youtu.be/tD13ZVJubq0,2021
66,2021-11-25,Hannes ,Hans Steinbichler,Leonard Scheicher Johannes Nussbaum Lisa Vicari Heiner Lauterbach Hannelore Elsner Jeanette Hain,https://www.kino-zeit.de/node/44055,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2021-07/hannes_001.jpg,STUDIOCANAL GmbH Filmverleih,Deutschland,https://youtu.be/QCtU7SYWHyY,2021
68,2021-11-25,In den Uffizien ,"Corinna Belz, Enrique Sánchez Lansch",,https://www.kino-zeit.de/node/52288,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2021-05/in-den-uffizien-1.jpeg,Piffl Medien GmbH,Deutschland,https://youtu.be/D-ioImTq6PA,2020
69,2021-11-25,Lene und die Geister des Waldes ,Dieter Schumann,,https://www.kino-zeit.de/node/51933,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/trailer/poster/poster_169187.jpg,Real Fiction Filmverleih,Deutschland,https://youtu.be/2mYy1MJJCuI,2019
70,2021-11-25,Pankow '95 ,Gábor Altorjay,Udo Kier Christine Kaufmann Dieter Thomas Heck Magdalena Montezuma Tom Dokoupil,https://www.kino-zeit.de/node/53078,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-01/Platzhalter.jpg,Rapid Eye Movies HE GmbH ,Deutschland,https://youtu.be/trQHMzgeaa8,1983
71,2021-11-25,Resident Evil: Welcome to Raccoon City ,Johannes Roberts,Hannah John-Kamen Kaya Scodelario Neal McDonough Tom Hopper Robbie Amell Donal Logue Lily Gao,https://www.kino-zeit.de/node/52427,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2021-10/resident_evil_welcome_to_raccoon_city_4.jpg,Constantin Filmverleih,"USA, Deutschland, Kanada",https://youtu.be/Wdb_mHUWDtQ,2021
81,2021-12-02,Das Ende des Schweigens ,van-Tien Hoang,,https://www.kino-zeit.de/node/50248,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/das_ende_des_schweigens_1.jpg,"GMfilms, barnsteiner-film ",Deutschland,https://youtu.be/prvhren5v9Y,2020
82,2021-12-07,Die fabelhafte Welt der Amélie ,Jean-Pierre Jeunet,Audrey Tautou Mathieu Kassovitz Rufus Lorella Cravotta Jamel Debbouze,https://www.kino-zeit.de/node/17840,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-04/amelie1.jpg,STUDIOCANAL GmbH Filmverleih,"Deutschland, Frankreich",https://youtu.be/oAA5ImvrFUQ,2001
84,2021-12-02,Die Zähmung der Bäume - Taming the Garden ,Salomé Jashi,,https://www.kino-zeit.de/node/51954,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2021-05/taming_the_garden_5.jpeg,Film Kino Text,"Georgien, Deutschland, Schweiz",https://youtu.be/rig1Bzz3k6k,2021
88,2021-12-02,Vater - Otac ,Srdan Golubovic,Goran Bogdan Boris Isakovic Nada Sargin Milica Janevski Muharem Hamzić,https://www.kino-zeit.de/node/50368,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/vater-otac_filmstill_04.jpg,barnsteiner Film,"Serbien, Kroatien, Deutschland",https://youtu.be/Gi8QtN521LE,2020
